customer id,Name,Personal status ,Present residence since,Present employment since,Job,age,Housing,Telephone,foreign worker
EB-1411048,Eugene Barchas,male   : single,4,1,skilled employee ,44,own,none,yes
AH-100301406,Aaron Hawkins,male   : married/widowed,1,2,skilled employee ,26,own,none,no
BP-1123058,Benjamin Patterson,male   : single,2,2,unskilled ,36,own,yes,yes
RR-1952536,Rick Reed,male   : married/widowed,4,8,unskilled ,39,own,none,yes
BS-1136545,Bill Shonely,female : divorced/separated,3,2,skilled employee ,42,rent,none,yes
AH-100301404,Aaron Hawkins,male   : single,2,2,skilled employee ,34,own,none,yes
DP-131057,Dave Poirier,male   : single,4,8,skilled employee ,63,own,yes,yes
AH-1003033,Aaron Hawkins,male   : married/widowed,3,1,skilled employee ,36,own,yes,yes
PO-18865139,Patrick O'Donnell,male   : single,2,2,skilled employee ,27,own,none,yes
DL-128657,Dan Lawera,male   : single,2,2,skilled employee ,30,own,yes,yes
JB-1600059,Joy Bell-,male   : single,4,8,unskilled ,57,rent,none,yes
BF-1100558,Barry Franz,female : divorced/separated,1,1,management,33,own,yes,yes
VG-2180558,Vivek Grady,male   : single,2,1,unskilled ,25,own,none,yes
GT-14710139,Greg Tran,male   : single,3,2,skilled employee ,31,for free,yes,yes
ZC-2191048,Zuschuss Carroll,male   : single,2,2,skilled employee ,37,own,none,yes
AH-100301408,Aaron Hawkins,male   : single,2,2,skilled employee ,37,own,yes,yes
EB-1384045,Ellis Ballard,male   : single,3,2,skilled employee ,24,own,none,yes
AP-1091527,Arthur Prichep,male   : single,2,8,management,30,own,none,yes
SW-2027558,Scott Williamson,male   : divorced/separated,1,2,skilled employee ,26,own,yes,yes
JH-15820141,John Huston,male   : single,4,2,unskilled ,44,own,yes,yes
TG-1164060,Trudy Glocke,male   : married/widowed,4,4,skilled employee ,24,rent,none,yes
DG-330087,Deirdre Greer,female : divorced/separated,4,8,unskilled ,58,for free,none,yes
SG-2047058,Sheri Gordon,female : divorced/separated,4,1,management,35,own,none,yes
GP-1474058,Guy Phonely,male   : single,4,8,skilled employee ,39,own,none,yes
MW-182207,Mitch Webber,female : divorced/separated,2,0,unemployed,23,rent,yes,yes
CS-1246011,Chuck Sachs,male   : single,4,2,unskilled ,39,own,none,yes
MS-1798048,Michael Stewart,female : divorced/separated,2,2,skilled employee ,28,own,none,yes
KC-1667548,Kimberly Carter,male   : single,2,1,unskilled ,29,own,none,yes
DB-1340527,Denny Blanton,male   : single,2,8,management,30,own,yes,yes
AS-100451408,Aaron Smayling,male   : single,2,2,skilled employee ,25,own,none,yes
DK-13090120,Dave Kipp,male   : single,1,2,skilled employee ,31,own,yes,yes
CS-1184558,Cari Sayre,male   : single,4,8,skilled employee ,57,for free,yes,yes
EM-1420082,Evan Minnotte,male   : single,2,2,unskilled ,26,own,none,yes
DW-3480137,Dianna Wilson,male   : single,1,0,management,52,own,yes,yes
AS-1022527,Alan Schoenberger,female : divorced/separated,2,2,skilled employee ,31,own,none,yes
ST-2053093,Shui Tom,female : divorced/separated,2,8,management,23,own,none,yes
BW-106533,Barry Weirich,female : divorced/separated,4,1,unskilled ,23,rent,yes,yes
LA-1678059,Laura Armstrong,male   : married/widowed,1,2,skilled employee ,27,own,yes,yes
AB-10150139,Aimee Bixby,male   : single,4,8,skilled employee ,50,own,yes,yes
JH-158207,John Huston,male   : single,4,8,management,61,for free,yes,yes
AS-100451402,Aaron Smayling,male   : single,2,2,skilled employee ,25,own,yes,yes
BE-1141048,Bobby Elias,female : divorced/separated,4,1,skilled employee ,26,own,yes,yes
SZ-2003527,Sam Zeldin,male   : single,4,8,skilled employee ,48,own,yes,yes
RM-1937558,Raymond Messe,female : divorced/separated,2,1,skilled employee ,29,own,none,yes
HG-1484545,Harry Greene,male   : married/widowed,1,2,skilled employee ,22,own,none,yes
DP-310586,Dave Poirier,male   : single,4,2,skilled employee ,37,for free,yes,yes
AS-100451404,Aaron Smayling,female : divorced/separated,4,2,skilled employee ,25,own,none,yes
JB-1600048,Joy Bell-,female : divorced/separated,2,2,skilled employee ,30,own,none,yes
AM-1070559,Anne McFarland,male   : single,2,8,unskilled ,46,rent,yes,yes
AB-25586,Alejandro Ballentine,male   : single,4,8,management,51,for free,yes,yes
RP-192707,Rachel Payne,female : divorced/separated,1,4,unskilled ,41,own,none,yes
BK-1126011,Berenike Kampe,male   : single,4,8,management,40,own,yes,yes
JM-1525027,Janet Martin,male   : single,4,8,management,66,for free,none,yes
NZ-1856545,Nick Zandusky,male   : single,3,1,skilled employee ,34,own,none,yes
SC-20695102,Steve Chapman,male   : single,4,4,skilled employee ,51,own,none,yes
NC-186257,Noah Childs,male   : single,2,2,unskilled ,39,own,none,yes
NF-183858,Natalie Fritzler,male   : married/widowed,1,1,skilled employee ,22,own,none,yes
NZ-185657,Nick Zandusky,female : divorced/separated,1,1,skilled employee ,44,own,yes,yes
PM-1894045,Paul MacIntyre,male   : single,3,8,skilled employee ,47,own,yes,yes
MZ-1733545,Maria Zettner,female : divorced/separated,4,2,unskilled ,24,rent,none,yes
HM-498033,Henry MacAllister,female : divorced/separated,4,8,unskilled ,58,own,yes,yes
RW-195407,Rick Wilson,male   : single,4,8,unskilled ,52,own,none,yes
LH-1715545,Logan Haushalter,female : divorced/separated,2,2,management,29,own,yes,yes
FH-1436582,Fred Hopkins,female : divorced/separated,1,1,skilled employee ,27,own,none,yes
KM-1666048,Khloe Miller,male   : single,4,2,skilled employee ,47,for free,yes,yes
PO-1886545,Patrick O'Donnell,male   : single,3,4,management,30,own,yes,yes
AS-100451406,Aaron Smayling,male   : single,3,4,skilled employee ,28,own,none,yes
AB-1006028,Adam Bellavance,male   : single,4,8,skilled employee ,56,own,none,yes
DB-130607,Dave Brooks,male   : single,3,8,skilled employee ,54,own,none,yes
VM-2168591,Valerie Mitchum,female : divorced/separated,3,8,unskilled ,33,own,none,yes
DM-1352548,Don Miller,male   : single,4,8,skilled employee ,20,rent,none,yes
NM-18520120,Neoma Murray,male   : single,4,8,skilled employee ,54,own,yes,yes
LC-168857,Lena Creighton,male   : single,4,1,skilled employee ,58,rent,yes,yes
RO-1978027,Rose O'Brian,female : divorced/separated,2,4,skilled employee ,61,own,none,yes
EM-1406548,Erin Mull,male   : single,4,2,skilled employee ,34,own,none,yes
ON-1871545,Odella Nelson,male   : single,4,8,skilled employee ,36,own,none,yes
VS-2182027,Vivek Sundaresam,male   : single,4,4,management,36,rent,yes,yes
CM-121157,Chad McGuire,male   : married/widowed,4,8,unskilled ,41,rent,none,yes
AB-100601404,Adam Bellavance,male   : single,4,4,skilled employee ,24,rent,none,yes
AB-100601406,Adam Bellavance,female : divorced/separated,2,2,skilled employee ,24,own,none,yes
JK-153257,Jason Klamczynski,male   : single,3,4,skilled employee ,35,rent,yes,yes
RP-1927045,Rachel Payne,male   : married/widowed,4,1,skilled employee ,26,rent,yes,yes
DW-1354078,Don Weiss,male   : single,3,2,management,39,own,yes,yes
AB-100601408,Adam Bellavance,male   : single,4,8,management,39,own,yes,yes
GM-1444037,Gary McGarr,male   : single,2,4,skilled employee ,32,own,none,yes
SV-2081558,Stuart Van,female : divorced/separated,2,1,skilled employee ,30,own,yes,no
MM-1792027,Michael Moore,male   : married/widowed,2,9,skilled employee ,35,own,yes,yes
JK-1612059,Julie Kriz,male   : divorced/separated,2,9,skilled employee ,31,own,none,yes
EM-14200130,Evan Minnotte,female : divorced/separated,4,1,skilled employee ,23,rent,yes,yes
AB-100601402,Adam Bellavance,male   : single,3,4,unskilled ,28,rent,none,yes
PM-1894059,Paul MacIntyre,female : divorced/separated,2,2,skilled employee ,25,own,yes,yes
AT-1043582,Alyssa Tate,male   : married/widowed,1,9,skilled employee ,35,own,none,yes
AB-1001527,Aaron Bergman,male   : single,1,9,skilled employee ,47,own,yes,yes
PV-1898518,Paul Van Hugh,female : divorced/separated,3,4,management,30,own,yes,yes
SB-2029064,Sean Braxton,female : divorced/separated,3,1,skilled employee ,27,rent,none,no
SM-10005116,Sally Matthias,female : divorced/separated,4,2,skilled employee ,23,own,none,yes
KH-1633059,Katharine Harms,male   : divorced/separated,3,4,management,36,own,yes,yes
MP-181757,Mike Pelletier,female : divorced/separated,2,2,skilled employee ,25,own,yes,yes
LH-1702027,Lisa Hazard,female : divorced/separated,2,9,management,41,rent,yes,yes
CR-126257,Corey Roper,male   : single,2,2,unskilled ,24,rent,none,yes
NC-1862511,Noah Childs,male   : single,4,9,skilled employee ,63,for free,yes,yes
GM-1468091,Greg Matthias,female : divorced/separated,3,1,skilled employee ,27,rent,none,yes
RA-1994545,Ryan Akin,male   : single,2,2,skilled employee ,30,own,none,yes
DB-1306048,Dave Brooks,male   : married/widowed,2,2,unskilled ,40,own,none,yes
RF-197357,Roland Fjeld,male   : single,2,2,skilled employee ,30,own,none,yes
JH-1582048,John Huston,male   : single,2,0,management,34,own,yes,yes
DM-1295551,Dario Medina,female : divorced/separated,2,2,skilled employee ,29,own,none,yes
BE-1133582,Bill Eplett,female : divorced/separated,2,4,skilled employee ,24,own,none,yes
SO-2033527,Sean O'Donnell,male   : single,3,2,skilled employee ,29,own,yes,yes
DK-12835120,Damala Kotsonis,male   : single,3,1,unskilled ,27,own,none,yes
LC-7050110,Liz Carlisle,male   : single,4,2,skilled employee ,47,for free,none,yes
CG-125207,Claire Gute,female : divorced/separated,4,4,skilled employee ,21,own,yes,yes
HG-1502559,Hunter Glantz,female : divorced/separated,2,9,skilled employee ,38,own,yes,yes
AD-1018059,Alan Dominguez,male   : single,2,2,skilled employee ,27,own,none,yes
BP-11155139,Becky Pak,male   : single,3,3,unskilled ,66,own,none,yes
AA-10480130,Andrew Allen,male   : single,2,4,skilled employee ,35,own,yes,yes
RL-196157,Rob Lucas,female : divorced/separated,2,3,unskilled ,44,rent,yes,yes
SW-2024559,Scot Wooten,male   : married/widowed,2,1,unemployed,27,own,none,no
BW-1111027,Bart Watters,female : divorced/separated,1,1,management,30,own,yes,yes
YC-21895139,Yoseph Carroll,male   : single,2,3,management,27,own,none,yes
JM-1558082,Jill Matthias,male   : single,2,3,skilled employee ,22,own,none,yes
MZ-733513,Maria Zettner,female : divorced/separated,4,1,skilled employee ,23,own,yes,yes
JF-15295120,Jason Fortune-,male   : single,2,4,skilled employee ,30,own,none,yes
DJ-3510137,Don Jones,female : divorced/separated,4,9,skilled employee ,39,own,yes,yes
MF-1825045,Monica Federle,female : divorced/separated,3,4,skilled employee ,51,own,yes,yes
TC-2129545,Toby Carlisle,male   : single,2,3,skilled employee ,28,own,none,yes
CP-1234058,Christine Phan,male   : single,4,9,skilled employee ,46,own,none,yes
EH-1412545,Eugene Hildebrand,male   : single,4,9,skilled employee ,42,for free,yes,yes
NC-183407,Nat Carroll,male   : single,4,3,skilled employee ,38,own,yes,no
JS-1603059,Joy Smith,male   : single,1,3,skilled employee ,24,own,none,yes
AM-10360139,Alice McCarthy,female : divorced/separated,4,9,skilled employee ,29,rent,none,yes
JF-1519021,Jamie Frazer,male   : single,4,4,management,36,rent,yes,yes
AB-100157,Aaron Bergman,female : divorced/separated,4,3,skilled employee ,20,rent,none,yes
JG-15160139,James Galang,male   : single,4,9,skilled employee ,48,own,none,no
AH-100751406,Adam Hart,male   : married/widowed,1,9,unskilled ,45,own,none,yes
AG-1033059,Alex Grayson,male   : single,3,4,skilled employee ,38,own,yes,yes
NF-1847548,Neil Französisch,male   : single,2,3,unskilled ,34,own,none,yes
DR-129407,Daniel Raglin,male   : single,4,9,skilled employee ,36,own,yes,yes
NB-1865548,Nona Balk,female : divorced/separated,1,1,skilled employee ,30,own,none,yes
NM-1844527,Nathan Mautz,male   : single,3,4,skilled employee ,36,own,yes,yes
TA-213857,Tom Ashbrook,male   : single,4,0,management,70,for free,yes,yes
SC-20380102,Shahid Collister,male   : single,4,9,skilled employee ,36,own,none,yes
PA-9060117,Pete Armstrong,male   : single,2,3,skilled employee ,32,own,yes,yes
RB-19570120,Rob Beeghly,female : divorced/separated,2,0,skilled employee ,33,own,none,yes
AH-100751404,Adam Hart,female : divorced/separated,1,1,skilled employee ,20,own,none,yes
LH-1675036,Larry Hughes,female : divorced/separated,4,4,skilled employee ,25,rent,yes,yes
AH-100751402,Adam Hart,male   : divorced/separated,4,9,skilled employee ,31,own,yes,yes
KB-1658527,Ken Black,male   : single,3,9,skilled employee ,33,rent,none,yes
AH-1007523,Adam Hart,female : divorced/separated,1,3,skilled employee ,26,own,yes,yes
MZ-751560,Mary Zewe,female : divorced/separated,2,0,management,34,own,yes,yes
DM-1334558,Denise Monton,male   : single,2,3,skilled employee ,33,own,none,no
CA-1196566,Carol Adams,male   : single,1,1,skilled employee ,26,own,none,yes
SC-20305120,Sean Christensen,female : divorced/separated,1,0,management,53,own,yes,yes
MH-1811558,Mick Hernandez,male   : divorced/separated,1,3,skilled employee ,42,own,none,yes
KS-163007,Karen Seio,male   : single,4,9,skilled employee ,52,own,none,yes
BG-1174078,Bruce Geld,male   : single,2,4,management,31,rent,yes,yes
CR-2625108,Corey Roper,male   : single,4,9,skilled employee ,65,own,none,yes
DK-1309027,Dave Kipp,male   : divorced/separated,1,1,skilled employee ,28,own,none,yes
JL-1583527,John Lee,male   : divorced/separated,2,3,management,30,own,yes,yes
AP-1072058,Anne Pryor,male   : single,2,3,unskilled ,40,own,none,yes
CR-1282058,Cyra Reiten,male   : single,4,3,skilled employee ,50,own,yes,yes
BF-110807,Bart Folk,male   : single,4,9,skilled employee ,36,own,yes,yes
JM-15265102,Janet Molinari,male   : single,2,3,skilled employee ,31,own,none,yes
TW-2102545,Tamara Willingham,female : divorced/separated,4,9,management,74,for free,yes,yes
RB-1933045,Randy Bradley,male   : single,3,0,unemployed,68,for free,yes,yes
AH-100751408,Adam Hart,male   : married/widowed,1,4,skilled employee ,20,own,none,yes
AB-10060117,Adam Bellavance,female : divorced/separated,4,3,skilled employee ,33,own,yes,yes
JR-567038,Jim Radford,male   : single,3,3,management,54,own,yes,yes
MD-1735028,Maribeth Dona,male   : single,4,4,unskilled ,34,for free,none,yes
EB-13840139,Ellis Ballard,male   : single,2,3,skilled employee ,36,own,yes,yes
JL-58359,John Lee,male   : married/widowed,2,4,skilled employee ,29,rent,none,yes
EP-1391559,Emily Phan,male   : single,4,3,skilled employee ,21,rent,none,yes
MS-17770139,Maxwell Schwartz,female : divorced/separated,3,9,management,34,own,yes,yes
CM-1265545,Corinna Mitchell,female : divorced/separated,1,3,skilled employee ,28,own,yes,yes
JC-610575,Julie Creighton,female : divorced/separated,4,1,skilled employee ,27,rent,none,yes
GB-145307,George Bell,male   : single,4,9,skilled employee ,36,for free,yes,yes
JH-161805,Justin Hirsh,male   : divorced/separated,3,9,management,40,own,yes,yes
MT-807038,Michelle Tran,male   : single,2,9,skilled employee ,52,own,yes,yes
AB-1010558,Adrian Barton,male   : married/widowed,3,3,unskilled ,27,own,none,yes
CV-280572,Cynthia Voltz,male   : single,4,4,skilled employee ,26,own,none,yes
NH-1861092,Nicole Hansen,male   : married/widowed,4,4,skilled employee ,21,rent,none,yes
HJ-1487527,Heather Jas,male   : single,1,9,unskilled ,38,own,none,yes
JL-1517518,James Lanier,male   : single,4,9,management,38,for free,yes,yes
MY-1829593,Muhammed Yedwab,male   : single,4,9,skilled employee ,43,own,yes,yes
KC-1654093,Kelly Collister,male   : single,3,4,skilled employee ,26,own,none,yes
CS-1246093,Chuck Sachs,male   : married/widowed,2,3,unskilled ,21,own,none,yes
HA-1492027,Helen Andreada,male   : single,2,4,skilled employee ,55,own,none,no
MT-1781545,Meg Tillman,male   : single,2,3,skilled employee ,33,own,none,yes
FW-1439545,Fred Wasserman,female : divorced/separated,4,10,unskilled ,45,own,yes,yes
BH-1171048,Brosina Hoffman,male   : single,4,0,skilled employee ,50,own,yes,yes
DK-1289559,Dana Kaydos,male   : single,4,10,management,66,own,yes,yes
KD-1627018,Karen Daniels,male   : single,2,10,skilled employee ,51,own,yes,yes
SC-208458,Sung Chung,female : divorced/separated,3,5,unskilled ,39,own,none,yes
CY-1274582,Craig Yedwab,male   : single,1,5,skilled employee ,31,own,yes,yes
HL-150407,Hunter Lopez,male   : single,2,3,skilled employee ,23,own,yes,yes
CT-1199566,Carol Triggs,male   : divorced/separated,2,3,unskilled ,24,rent,none,yes
CC-12370139,Christopher Conant,female : divorced/separated,4,3,skilled employee ,64,own,yes,yes
GR-456072,Georgia Rosenberg,male   : married/widowed,1,1,unskilled ,26,own,none,yes
TT-2107058,Ted Trevino,female : divorced/separated,4,3,skilled employee ,23,rent,yes,yes
PO-19195120,Phillina Ober,male   : single,2,3,skilled employee ,30,own,none,yes
ED-13885144,Emily Ducich,male   : single,4,3,skilled employee ,32,own,yes,yes
AP-1091559,Arthur Prichep,male   : single,2,3,skilled employee ,30,own,yes,yes
TM-2149031,Tony Molinari,male   : single,2,3,skilled employee ,27,own,none,yes
AW-1084091,Anthony Witt,male   : single,2,5,skilled employee ,27,own,yes,yes
SG-10605107,Speros Goranitis,male   : single,4,10,management,53,for free,yes,yes
BM-1178582,Bryan Mills,male   : single,2,5,skilled employee ,22,own,none,yes
DK-1337582,Dennis Kane,male   : single,1,1,skilled employee ,22,for free,none,yes
AS-100901406,Adam Shillingsburg,male   : single,2,3,skilled employee ,26,own,none,yes
AS-100901402,Adam Shillingsburg,male   : single,4,10,unskilled ,51,for free,none,yes
SF-10200134,Sarah Foster,male   : single,1,5,skilled employee ,35,own,none,yes
JW-5220111,Jane Waco,male   : married/widowed,2,3,unskilled ,25,own,none,yes
CC-1210082,Chad Cunningham,male   : single,1,5,unskilled ,42,own,none,yes
RD-1993092,Russell D'Ascenzo,male   : single,2,0,management,30,own,none,yes
BP-123022,Benjamin Patterson,male   : single,2,0,unemployed,23,own,yes,yes
SA-20830139,Sue Ann Reed,male   : divorced/separated,2,10,unskilled ,61,rent,none,yes
EM-1381058,Eleni McCrary,female : divorced/separated,2,3,skilled employee ,35,own,none,yes
CS-12175130,Charles Sheldon,male   : single,3,10,skilled employee ,39,own,none,yes
JD-16060120,Julia Dunbar,female : divorced/separated,2,10,skilled employee ,29,own,none,yes
GH-1466527,Greg Hansen,male   : single,2,5,skilled employee ,51,own,none,yes
CM-1193527,Carlos Meador,male   : single,4,10,skilled employee ,24,for free,none,yes
JB-1600093,Joy Bell-,female : divorced/separated,2,3,skilled employee ,27,own,none,yes
RB-9465108,Rick Bensley,female : divorced/separated,3,3,unskilled ,35,own,none,yes
RB-1979518,Ross Baird,male   : single,1,5,skilled employee ,25,own,yes,yes
PO-191957,Phillina Ober,male   : single,4,10,skilled employee ,52,own,none,yes
TS-212057,Thomas Seio,male   : single,1,3,skilled employee ,35,rent,none,no
MV-8190117,Mike Vittorini,male   : single,2,3,skilled employee ,26,own,none,yes
BD-11560139,Brendan Dodson,female : divorced/separated,4,0,skilled employee ,22,rent,none,yes
PS-1876059,Pamela Stobb,female : divorced/separated,4,5,unskilled ,39,own,yes,yes
FM-1421551,Filia McAdams,female : divorced/separated,2,3,unskilled ,46,own,none,yes
CA-1277558,Cynthia Arntzen,female : divorced/separated,2,3,skilled employee ,24,own,none,yes
CD-1279048,Cynthia Delaney,male   : single,3,3,skilled employee ,35,own,none,yes
NL-1831092,Nancy Lomonaco,male   : single,1,5,skilled employee ,24,own,yes,yes
TB-2105545,Ted Butterfield,male   : single,1,3,unskilled ,27,own,none,yes
KD-1649527,Keith Dawkins,male   : single,2,3,unskilled ,35,own,none,yes
EH-412557,Eugene Hildebrand,male   : divorced/separated,1,3,skilled employee ,29,for free,none,yes
KB-1660058,Ken Brennan,female : divorced/separated,4,1,skilled employee ,23,own,yes,yes
MG-1769564,Maureen Gnade,female : divorced/separated,4,0,unskilled ,57,own,none,yes
VF-21715102,Vicky Freymann,male   : single,2,3,skilled employee ,27,own,none,yes
BP-11290113,Beth Paige,female : divorced/separated,4,10,skilled employee ,55,own,none,yes
HZ-49504,Henia Zydlo,male   : single,4,10,management,36,for free,yes,yes
EM-1382566,Elizabeth Moffitt,female : divorced/separated,4,10,unskilled ,57,for free,none,yes
AS-100901408,Adam Shillingsburg,male   : single,4,10,unskilled ,32,own,none,no
BS-1180059,Bryan Spruell,male   : single,3,10,skilled employee ,37,own,none,yes
DV-1346539,Dianna Vittorini,male   : single,4,10,skilled employee ,36,own,none,yes
MB-173057,Maria Bertelson,female : divorced/separated,3,1,skilled employee ,38,own,yes,yes
PC-19000120,Pauline Chand,male   : divorced/separated,4,10,management,45,own,yes,no
CA-1231045,Christine Abelman,male   : single,2,10,skilled employee ,25,own,none,yes
MB-1808545,Mick Brown,male   : single,3,5,skilled employee ,32,own,none,no
AS-100901404,Adam Shillingsburg,female : divorced/separated,4,5,skilled employee ,37,rent,yes,yes
DB-3660107,Duane Benoit,male   : single,4,0,management,36,for free,yes,yes
BG-1174018,Bruce Geld,male   : single,4,5,skilled employee ,28,own,none,yes
KB-1631578,Karl Braun,male   : divorced/separated,1,1,unskilled ,34,own,yes,yes
PK-190757,Pete Kriz,male   : single,2,3,skilled employee ,32,own,none,yes
CS-121757,Charles Sheldon,female : divorced/separated,2,3,skilled employee ,26,own,none,yes
AF-1088545,Art Foster,male   : divorced/separated,4,10,unskilled ,49,own,yes,yes
SJ-2050045,Shirley Jackson,female : divorced/separated,4,1,skilled employee ,32,own,none,yes
DM-1295545,Dario Medina,male   : single,4,3,management,29,rent,yes,yes
CC-1261048,Corey Catlett,male   : single,4,10,skilled employee ,23,rent,yes,yes
BE-114557,Brad Eason,male   : single,2,3,skilled employee ,50,own,none,yes
TG-2164014,Trudy Glocke,male   : single,4,5,unskilled ,49,own,none,yes
VM-2168545,Valerie Mitchum,male   : single,4,10,skilled employee ,63,own,none,yes
SC-2069539,Steve Chapman,male   : divorced/separated,2,1,skilled employee ,37,own,yes,yes
SN-2056097,Skye Norling,female : divorced/separated,1,1,unskilled ,35,own,yes,yes
CD-122807,Christina DeMoss,male   : single,3,5,skilled employee ,26,own,none,yes
CC-1210045,Chad Cunningham,male   : single,4,0,management,31,for free,yes,yes
BG-1103544,Barry Gonzalez,female : divorced/separated,4,3,skilled employee ,49,own,yes,yes
CC-125507,Clay Cheatham,male   : married/widowed,4,1,skilled employee ,48,own,none,yes
AB-101057,Adrian Barton,male   : married/widowed,2,3,skilled employee ,26,own,yes,no
SV-2078559,Stewart Visinsky,male   : married/widowed,4,1,management,28,rent,yes,yes
HW-1493545,Helen Wasserman,female : divorced/separated,4,10,management,44,for free,yes,yes
AS-1028558,Alejandro Savely,male   : single,4,10,skilled employee ,56,for free,none,yes
LD-1685545,Lela Donovan,male   : divorced/separated,2,10,management,46,own,none,yes
NS-1850528,Neola Schneider,female : divorced/separated,2,1,skilled employee ,26,own,yes,yes
CM-1271582,Craig Molinari,female : divorced/separated,4,1,skilled employee ,20,rent,none,yes
VG-2180527,Vivek Grady,male   : single,2,10,unskilled ,45,own,none,no
JD-606049,Julia Dunbar,male   : single,4,3,skilled employee ,43,own,yes,yes
MG-17680144,Maureen Gastineau,male   : single,2,5,skilled employee ,32,own,yes,yes
CD-1228058,Christina DeMoss,female : divorced/separated,4,0,unemployed,54,own,yes,yes
DB-13210139,Dean Braden,female : divorced/separated,1,3,skilled employee ,42,own,yes,yes
CS-118608,Cari Schnelling,male   : single,2,5,unskilled ,37,own,none,yes
AF-1088558,Art Foster,male   : single,3,5,skilled employee ,49,own,yes,yes
BN-11470130,Brad Norvell,male   : single,2,3,skilled employee ,44,for free,none,yes
GG-1465045,Greg Guthrie,male   : divorced/separated,2,3,skilled employee ,33,own,none,yes
BS-166560,Brian Stugart,female : divorced/separated,4,5,unskilled ,24,rent,none,yes
AC-1045058,Amy Cox,male   : married/widowed,3,1,unskilled ,33,own,yes,yes
CK-1220564,Chloris Kastensmidt,female : divorced/separated,4,3,skilled employee ,24,own,none,yes
JD-16150139,Justin Deggeller,male   : married/widowed,4,3,unskilled ,22,rent,none,yes
CC-2550137,Clay Cheatham,male   : single,4,0,unemployed,40,for free,yes,yes
MS-17830139,Melanie Seite,male   : single,1,3,skilled employee ,25,own,none,yes
GT-14710120,Greg Tran,female : divorced/separated,4,1,skilled employee ,26,own,none,yes
CL-1270058,Craig Leslie,male   : married/widowed,3,5,unskilled ,25,own,none,yes
MM-1792045,Michael Moore,male   : single,2,1,unskilled ,29,own,none,no
CM-1216093,Charles McCrossin,male   : single,4,10,skilled employee ,31,own,none,yes
DB-1306027,Dave Brooks,male   : single,3,3,unskilled ,38,own,none,yes
JW-522087,Jane Waco,female : divorced/separated,4,3,unskilled ,48,own,yes,yes
BN-1147082,Brad Norvell,male   : single,2,3,skilled employee ,32,own,none,yes
JC-157757,John Castell,female : divorced/separated,4,10,unskilled ,27,own,none,yes
HL-1504093,Hunter Lopez,male   : married/widowed,2,0,management,28,own,none,yes
LH-1690018,Lena Hernandez,male   : divorced/separated,3,1,skilled employee ,32,own,none,yes
DV-1304559,Darrin Van Huff,male   : single,1,5,management,34,for free,yes,yes
BT-1153058,Bradley Talbott,male   : single,2,3,skilled employee ,28,own,none,yes
BM-165060,Brian Moss,female : divorced/separated,3,3,skilled employee ,36,own,none,yes
MG-1820558,Mitch Gastineau,male   : single,4,5,unskilled ,39,own,none,no
FC-1424528,Frank Carlisle,male   : single,4,10,skilled employee ,49,rent,yes,yes
TT-2122051,Thomas Thornton,female : divorced/separated,3,5,skilled employee ,34,own,yes,yes
CY-1274558,Craig Yedwab,male   : single,2,10,skilled employee ,31,own,none,yes
SJ-2021582,Sarah Jordon,male   : single,4,10,skilled employee ,28,own,none,yes
PB-1880593,Patrick Bzostek,male   : single,4,0,management,75,for free,yes,yes
RW-1969027,Robert Waldorf,female : divorced/separated,2,3,skilled employee ,30,own,none,yes
DB-3360146,Dennis Bolton,female : divorced/separated,2,1,management,24,own,none,yes
