"","X.1","X","customer.id","Name.x","default","Personal.status","Present.residence.since","Present.employment.since","Job","age","Housing","Telephone","foreign.worker","Account.Status","Duration.in.Month","Savings.account.bonds","Property","Credit.history","Purpose","Credit.amount","Installment.rate","guarantors","Other.installment.plans","Number.of.existing.credits","liable.to.provide.maintenance"
"20",20,20,"AB-1010558","Adrian Barton",1,"male   : married/widowed",3,3,"unskilled ",27,"own","none","yes",0,12,80,"real estate","existing credits paid back duly till now"," New Car",1168,4,"none","none",1,1
"21",21,21,"AB-101057","Adrian Barton",1,"male   : married/widowed",2,3,"skilled employee ",26,"own","yes","no",10,12,80,"real estate","existing credits paid back duly till now","business",1076,2,"none","none",1,1
"22",22,22,"AB-10150120","Aimee Bixby",1,"male   : single",4,10,"management",46,"own","yes","yes",10,21,90,"real estate","existing credits paid back duly till now","Used Car",2476,4,"none","none",1,1
"23",23,23,"AB-10150139","Aimee Bixby",1,"male   : single",4,8,"skilled employee ",50,"own","yes","yes",150,15,0,"real estate","critical account","radio/television",1537,4,"guarantor","none",2,1
"24",24,24,"AB-101501402","Aimee Bixby",1,"female : divorced/separated",4,6,"skilled employee ",23,"own","none","yes",10,12,90,"real estate","critical account","repairs",996,4,"none","none",2,1
"25",25,25,"AB-101501406","Aimee Bixby",1,"male   : married/widowed",3,6,"skilled employee ",26,"own","yes","yes",10,24,300,"life insurance","existing credits paid back duly till now","radio/television",1311,4,"none","none",1,1
"26",26,26,"AB-101651402","Alan Barnes",1,"male   : single",4,3,"skilled employee ",22,"own","yes","yes",0,24,900,"real estate","all credits at this bank paid back duly","furniture/equipment",2828,4,"none","stores",1,1
"27",27,27,"AB-101651404","Alan Barnes",1,"female : divorced/separated",4,0,"management",26,"rent","yes","yes",10,24,90,"life insurance","existing credits paid back duly till now","Used Car",5433,2,"none","none",1,1
"28",28,28,"AB-101651406","Alan Barnes",2,"male   : married/widowed",3,3,"unskilled ",47,"own","yes","yes",0,18,90,"real estate","existing credits paid back duly till now","domestic appliances",1217,4,"none","none",1,1
"29",29,29,"AB-101651408","Alan Barnes",1,"female : divorced/separated",1,6,"skilled employee ",27,"own","none","yes",50,12,90,"real estate","existing credits paid back duly till now","radio/television",2930,2,"none","none",1,1
"30",30,30,"AB-102551402","Alejandro Ballentine",1,"male   : single",2,4,"unskilled ",43,"own","none","yes",0,12,90,"real estate","delay in paying off in the past"," New Car",1344,4,"none","none",2,2
"31",31,31,"AB-102551404","Alejandro Ballentine",2,"male   : divorced/separated",1,0,"skilled employee ",33,"own","none","yes",0,24,490,"life insurance","existing credits paid back duly till now","furniture/equipment",2359,1,"none","none",1,1
"32",32,32,"AB-102551406","Alejandro Ballentine",1,"male   : single",4,10,"skilled employee ",58,"own","yes","yes",10,30,90,"car or other","existing credits paid back duly till now","radio/television",1867,4,"none","none",1,1
"33",33,33,"AB-102551408","Alejandro Ballentine",1,"female : divorced/separated",1,1,"skilled employee ",30,"own","none","yes",10,48,900,"car or other","all credits paid back duly"," New Car",8358,1,"none","none",2,1
"34",34,34,"AB-10523","Adrian Barton",1,"male   : single",4,10,"skilled employee ",43,"own","none","yes",50,18,90,"car or other","delay in paying off in the past"," New Car",2899,4,"none","none",1,2
"35",35,35,"AB-16523","Alan Barnes",2,"female : divorced/separated",2,3,"skilled employee ",31,"own","yes","yes",0,48,90,"car or other","existing credits paid back duly till now","radio/television",6758,3,"none","none",1,1
"36",36,36,"AB-25523","Alejandro Ballentine",2,"male   : single",2,1,"skilled employee ",46,"own","yes","yes",0,12,90,"car or other","all credits at this bank paid back duly"," New Car",697,4,"none","Bank",2,1
"37",37,37,"AB-25586","Alejandro Ballentine",1,"male   : single",4,8,"management",51,"for free","yes","yes",0,8,70,"","critical account","Others",1164,3,"none","Bank",2,2
"38",38,38,"AB-600103","Ann Blume",1,"male   : single",3,1,"skilled employee ",25,"own","none","yes",0,30,0,"car or other","all credits paid back duly","business",8072,2,"none","Bank",3,1
"39",39,39,"AB-60042","Ann Blume",1,"female : divorced/separated",2,1,"skilled employee ",29,"own","none","yes",0,21,2500,"car or other","existing credits paid back duly till now","radio/television",3357,4,"none","Bank",1,1
"40",40,40,"AC-1042027","Alyssa Crouse",1,"male   : single",4,0,"unemployed",66,"for free","none","yes",500,12,900,"","critical account"," New Car",1480,2,"none","Bank",3,1
"41",41,41,"AC-1045058","Amy Cox",2,"male   : married/widowed",3,1,"unskilled ",33,"own","yes","yes",0,12,250,"","existing credits paid back duly till now","radio/television",727,4,"none","none",1,1
"42",42,42,"AC-10660144","Anna Chung",2,"male   : single",2,0,"management",33,"rent","yes","yes",10,48,90,"car or other","existing credits paid back duly till now","business",4844,3,"none","Bank",1,1
"43",43,43,"AD-101801402","Alan Dominguez",1,"male   : single",3,6,"skilled employee ",37,"own","yes","yes",10,48,90,"car or other","existing credits paid back duly till now","radio/television",10222,4,"none","stores",1,1
"44",44,44,"AD-101801404","Alan Dominguez",2,"male   : single",3,6,"skilled employee ",38,"for free","none","yes",400,24,90,"","existing credits paid back duly till now"," New Car",947,4,"none","Bank",1,2
"45",45,45,"AD-101801406","Alan Dominguez",1,"male   : single",2,10,"skilled employee ",50,"own","none","yes",10,21,90,"real estate","existing credits paid back duly till now","furniture/equipment",2241,4,"none","none",2,1
"46",46,46,"AD-1018059","Alan Dominguez",1,"male   : single",2,2,"skilled employee ",27,"own","none","yes",10,27,1500,"car or other","delay in paying off in the past","Used Car",8613,2,"none","none",2,1
"47",47,47,"AF-1087014","Art Ferguson",1,"male   : single",2,3,"skilled employee ",25,"own","none","yes",0,9,80,"real estate","existing credits paid back duly till now","furniture/equipment",2136,3,"none","none",1,1
"48",48,48,"AF-1087018","Art Ferguson",1,"male   : single",2,3,"management",48,"own","yes","yes",50,48,90,"car or other","all credits paid back duly","business",12204,2,"none","Bank",1,1
"49",49,49,"AF-1087027","Art Ferguson",1,"male   : married/widowed",3,1,"management",30,"rent","yes","yes",10,6,90,"car or other","existing credits paid back duly till now","radio/television",2063,4,"none","none",1,1
"50",50,50,"AF-1087048","Art Ferguson",2,"female : divorced/separated",3,1,"skilled employee ",28,"own","none","yes",50,18,300,"car or other","all credits paid back duly"," New Car",2278,3,"none","none",2,1
"51",51,51,"AF-1087058","Art Ferguson",2,"male   : single",4,4,"skilled employee ",42,"for free","none","yes",10,60,90,"","existing credits paid back duly till now","education",6288,4,"none","none",1,1
"52",52,52,"AF-1088545","Art Foster",1,"male   : divorced/separated",4,10,"unskilled ",49,"own","yes","yes",0,12,90,"life insurance","existing credits paid back duly till now","furniture/equipment",1262,2,"none","none",1,1
"53",53,53,"AF-1088558","Art Foster",1,"male   : single",3,5,"skilled employee ",49,"own","yes","yes",0,10,80,"life insurance","critical account"," New Car",1038,4,"co-applicant","none",2,1
"54",54,54,"AF-1088564","Art Foster",1,"male   : married/widowed",3,0,"unemployed",40,"own","yes","yes",10,18,90,"car or other","critical account","business",3590,3,"none","none",3,2
"55",55,55,"AF-1088582","Art Foster",1,"female : divorced/separated",4,7,"unskilled ",31,"own","none","yes",10,12,90,"real estate","existing credits paid back duly till now","furniture/equipment",1736,3,"none","none",1,1
"56",56,56,"AG-102701402","Alejandro Grove",1,"male   : single",4,0,"skilled employee ",27,"own","none","yes",10,45,490,"car or other","critical account","Used Car",4576,3,"none","none",1,1
"57",57,57,"AG-1033059","Alex Grayson",1,"male   : single",3,4,"skilled employee ",38,"own","yes","yes",190,24,250,"car or other","existing credits paid back duly till now"," New Car",3512,2,"none","Bank",2,1
"58",58,58,"AG-1049527","Andrew Gjertsen",2,"female : divorced/separated",1,1,"unemployed",26,"own","none","yes",250,12,80,"real estate","all credits at this bank paid back duly","business",609,4,"none","none",1,1
"59",59,59,"AG-1052582","Andy Gerbode",1,"male   : single",2,10,"skilled employee ",41,"own","none","yes",20,30,490,"life insurance","delay in paying off in the past","business",2503,4,"none","stores",2,1
"60",60,60,"AG-1067555","Anna Gayman",1,"male   : divorced/separated",2,10,"skilled employee ",28,"own","yes","yes",10,11,2500,"real estate","existing credits paid back duly till now","business",2142,1,"none","none",1,1
"61",61,61,"AG-1076558","Anthony Garverick",2,"female : divorced/separated",2,4,"management",32,"own","yes","no",10,48,90,"life insurance","all credits paid back duly","Others",18424,1,"none","Bank",1,1
"62",62,62,"AG-1090045","Arthur Gainer",1,"male   : single",3,4,"unskilled ",24,"own","none","yes",0,12,90,"life insurance","existing credits paid back duly till now","radio/television",2214,4,"none","none",1,1
"63",63,63,"AG-1090058","Arthur Gainer",1,"female : divorced/separated",2,0,"unemployed",24,"rent","none","yes",10,12,90,"real estate","existing credits paid back duly till now"," New Car",7472,1,"none","none",1,1
"64",64,64,"AG-1090082","Arthur Gainer",1,"female : divorced/separated",4,10,"unskilled ",41,"rent","none","yes",10,9,90,"life insurance","critical account","education",1244,4,"none","none",2,1
"65",65,65,"AG-27032","Alejandro Grove",1,"male   : single",4,4,"skilled employee ",50,"rent","none","yes",10,6,900,"life insurance","existing credits paid back duly till now","Used Car",1236,2,"none","none",1,1
"66",66,66,"AG-52560","Andy Gerbode",1,"male   : single",3,1,"unskilled ",49,"own","none","yes",50,12,90,"real estate","critical account"," New Car",3124,1,"none","Bank",2,2
"67",67,67,"AG-6758","Anna Gayman",1,"female : divorced/separated",3,3,"skilled employee ",30,"own","none","yes",0,12,80,"life insurance","existing credits paid back duly till now","furniture/equipment",1620,2,"co-applicant","none",1,1
"68",68,68,"AH-100301404","Aaron Hawkins",1,"male   : single",2,2,"skilled employee ",34,"own","none","yes",100,7,50,"real estate","existing credits paid back duly till now","radio/television",2415,3,"guarantor","none",1,1
"69",69,69,"AH-100301406","Aaron Hawkins",1,"male   : married/widowed",1,2,"skilled employee ",26,"own","none","no",10,10,0,"car or other","critical account","furniture/equipment",2069,2,"none","none",2,1
"70",70,70,"AH-100301408","Aaron Hawkins",1,"male   : single",2,2,"skilled employee ",37,"own","yes","yes",250,10,50,"car or other","existing credits paid back duly till now","domestic appliances",1225,2,"none","none",1,1
"71",71,71,"AH-1003033","Aaron Hawkins",1,"male   : married/widowed",3,1,"skilled employee ",36,"own","yes","yes",100,18,1500,"real estate","existing credits paid back duly till now","business",1913,3,"none","Bank",1,1
"72",72,72,"AH-100308","Aaron Hawkins",1,"male   : single",4,0,"unemployed",65,"own","none","yes",0,42,80,"car or other","critical account","repairs",3394,4,"co-applicant","none",2,1
"73",73,73,"AH-1003082","Aaron Hawkins",2,"male   : single",4,10,"unskilled ",41,"own","none","yes",50,12,90,"car or other","existing credits paid back duly till now"," New Car",888,4,"none","Bank",1,2
"74",74,74,"AH-100751402","Adam Hart",2,"male   : divorced/separated",4,9,"skilled employee ",31,"own","yes","yes",190,24,80,"real estate","critical account","business",1935,4,"none","none",2,1
"75",75,75,"AH-100751404","Adam Hart",1,"female : divorced/separated",1,1,"skilled employee ",20,"own","none","yes",190,11,1500,"real estate","existing credits paid back duly till now","furniture/equipment",1577,4,"none","none",1,1
"76",76,76,"AH-100751406","Adam Hart",1,"male   : married/widowed",1,9,"unskilled ",45,"own","none","yes",0,12,80,"car or other","all credits at this bank paid back duly","retraining",339,4,"none","Bank",1,1
"77",77,77,"AH-100751408","Adam Hart",2,"male   : married/widowed",1,4,"skilled employee ",20,"own","none","yes",0,12,250,"life insurance","existing credits paid back duly till now","radio/television",674,4,"none","none",1,1
"78",78,78,"AH-1007523","Adam Hart",1,"female : divorced/separated",1,3,"skilled employee ",26,"own","yes","yes",10,12,80,"real estate","existing credits paid back duly till now","furniture/equipment",763,4,"none","none",1,1
"79",79,79,"AH-1007559","Adam Hart",1,"male   : single",3,7,"skilled employee ",34,"own","yes","yes",10,24,90,"","critical account","business",2825,4,"none","none",2,2
"80",80,80,"AH-100757","Adam Hart",1,"female : divorced/separated",3,6,"skilled employee ",37,"own","none","no",0,6,90,"life insurance","critical account"," New Car",609,4,"none","none",2,1
"81",81,81,"AH-1007582","Adam Hart",2,"female : divorced/separated",4,5,"skilled employee ",37,"rent","none","yes",0,48,80,"car or other","all credits at this bank paid back duly","business",7685,2,"guarantor","none",1,1
"82",82,82,"AH-101201402","Adrian Hane",1,"male   : single",4,10,"skilled employee ",38,"own","none","yes",50,12,90,"life insurance","existing credits paid back duly till now","retraining",754,4,"none","none",2,1
"83",83,83,"AH-101201404","Adrian Hane",1,"male   : single",2,3,"skilled employee ",36,"rent","none","yes",0,11,80,"real estate","critical account"," New Car",3905,2,"none","none",2,2
"84",84,84,"AH-101201408","Adrian Hane",1,"male   : single",1,6,"skilled employee ",34,"own","yes","yes",10,18,80,"car or other","existing credits paid back duly till now","business",1950,4,"none","stores",2,1
"85",85,85,"AH-101951402","Alan Haines",1,"female : divorced/separated",4,10,"skilled employee ",25,"own","none","yes",20,9,90,"real estate","existing credits paid back duly till now","radio/television",1206,4,"none","none",1,1
"86",86,86,"AH-101951406","Alan Haines",1,"male   : single",2,4,"skilled employee ",24,"own","none","yes",10,18,90,"car or other","critical account","radio/television",1800,4,"none","none",2,1
"87",87,87,"AH-101951408","Alan Haines",1,"male   : single",2,6,"skilled employee ",28,"own","yes","yes",10,24,90,"car or other","existing credits paid back duly till now","radio/television",2284,4,"none","none",1,1
"88",88,88,"AH-102101402","Alan Hwang",1,"female : divorced/separated",2,6,"unskilled ",44,"own","none","yes",10,8,90,"real estate","existing credits paid back duly till now","radio/television",760,4,"guarantor","none",1,1
"89",89,89,"AH-102101404","Alan Hwang",2,"male   : single",2,1,"management",34,"own","yes","yes",400,9,90,"car or other","all credits paid back duly","radio/television",1337,4,"none","none",2,1
"90",90,90,"AH-102101406","Alan Hwang",1,"male   : single",2,4,"skilled employee ",31,"own","yes","yes",400,24,90,"car or other","critical account","radio/television",3148,3,"none","none",2,1
"91",91,91,"AH-102101408","Alan Hwang",2,"female : divorced/separated",2,4,"unskilled ",24,"own","none","yes",0,12,90,"real estate","existing credits paid back duly till now"," New Car",1228,4,"none","none",1,1
"92",92,92,"AH-1021018","Alan Hwang",1,"female : divorced/separated",4,10,"skilled employee ",37,"own","yes","yes",50,18,90,"life insurance","critical account","furniture/equipment",3612,3,"none","none",1,1
"93",93,93,"AH-1021051","Alan Hwang",1,"male   : single",2,10,"skilled employee ",42,"own","none","yes",10,18,90,"life insurance","delay in paying off in the past","business",2427,4,"none","none",2,1
"94",94,94,"AH-1046593","Amy Hunt",1,"female : divorced/separated",3,6,"skilled employee ",24,"own","none","yes",10,15,90,"car or other","critical account","furniture/equipment",2788,2,"co-applicant","Bank",2,1
"95",95,95,"AH-105857","Angele Hood",1,"female : divorced/separated",2,3,"skilled employee ",33,"own","yes","yes",10,24,90,"car or other","critical account","education",1927,3,"none","none",2,1
"96",96,96,"AH-19523","Alan Haines",1,"female : divorced/separated",2,10,"skilled employee ",47,"for free","yes","yes",400,24,490,"","existing credits paid back duly till now","radio/television",1377,4,"none","none",1,1
"97",97,97,"AH-21038","Alan Hwang",1,"female : divorced/separated",4,10,"management",52,"for free","yes","yes",10,12,90,"","existing credits paid back duly till now"," New Car",2133,4,"none","none",1,1
"98",98,98,"AI-108557","Arianne Irving",1,"male   : single",4,4,"unskilled ",43,"own","none","yes",10,24,90,"life insurance","existing credits paid back duly till now"," New Car",7393,1,"none","none",1,2
"99",99,99,"AJ-107801","Anthony Jacobs",2,"male   : married/widowed",2,0,"management",28,"own","none","yes",100,30,50,"car or other","critical account"," New Car",5234,4,"none","none",2,1
"100",100,100,"AJ-96086","Astrea Jones",2,"female : divorced/separated",4,1,"skilled employee ",34,"own","yes","yes",0,36,80,"car or other","existing credits paid back duly till now"," New Car",1842,4,"none","none",1,1
"101",101,101,"AM-10360139","Alice McCarthy",1,"female : divorced/separated",4,9,"skilled employee ",29,"rent","none","yes",190,24,1500,"","critical account","Used Car",7758,2,"none","none",1,1
"102",102,102,"AM-10705102","Anne McFarland",1,"male   : married/widowed",2,1,"skilled employee ",27,"own","none","no",0,15,80,"real estate","existing credits paid back duly till now","radio/television",1053,4,"none","none",1,1
"103",103,103,"AM-10705125","Anne McFarland",2,"male   : single",2,10,"management",57,"for free","yes","yes",50,36,80,"","existing credits paid back duly till now"," New Car",14318,4,"none","none",1,1
"104",104,104,"AM-1070559","Anne McFarland",1,"male   : single",2,8,"unskilled ",46,"rent","yes","yes",10,7,0,"life insurance","critical account","radio/television",730,4,"none","none",2,1
"105",105,105,"AM-107057","Anne McFarland",1,"male   : married/widowed",2,3,"skilled employee ",46,"own","yes","yes",0,36,80,"life insurance","critical account","furniture/equipment",2348,3,"none","none",2,1
"106",106,106,"AP-1072058","Anne Pryor",2,"male   : single",2,3,"unskilled ",40,"own","none","yes",0,21,0,"life insurance","all credits at this bank paid back duly"," New Car",1647,4,"none","none",2,2
"107",107,107,"AP-1072092","Anne Pryor",2,"female : divorced/separated",2,1,"skilled employee ",22,"own","yes","yes",10,9,90,"car or other","existing credits paid back duly till now","radio/television",1670,4,"none","none",1,1
"108",108,108,"AP-1091527","Arthur Prichep",1,"male   : single",2,8,"management",30,"own","none","yes",10,30,700,"car or other","existing credits paid back duly till now","radio/television",2333,4,"none","Bank",1,1
"109",109,109,"AP-1091559","Arthur Prichep",1,"male   : single",2,3,"skilled employee ",30,"own","yes","yes",10,15,80,"car or other","existing credits paid back duly till now","Used Car",4657,3,"none","none",1,1
"110",110,110,"AR-1034582","Alex Russell",1,"female : divorced/separated",2,3,"skilled employee ",26,"rent","none","yes",10,9,90,"real estate","existing credits paid back duly till now","furniture/equipment",1388,4,"none","none",1,1
"111",111,111,"AR-1051027","Andrew Roberts",2,"male   : single",4,10,"skilled employee ",31,"own","none","yes",0,30,90,"life insurance","existing credits paid back duly till now","furniture/equipment",6350,4,"none","none",1,1
"112",112,112,"AR-1051045","Andrew Roberts",1,"male   : single",4,10,"skilled employee ",35,"own","none","yes",10,12,90,"car or other","critical account","radio/television",976,4,"none","none",2,1
"113",113,113,"AR-1051064","Andrew Roberts",1,"male   : single",2,10,"management",45,"own","yes","yes",10,39,300,"car or other","existing credits paid back duly till now","Used Car",8588,4,"none","none",1,1
"114",114,114,"AR-105707","Anemone Ratner",1,"male   : single",4,10,"skilled employee ",44,"own","yes","yes",0,15,90,"car or other","critical account","furniture/equipment",1478,4,"none","none",2,2
"115",115,115,"AR-1082545","Anthony Rawles",1,"male   : divorced/separated",1,1,"skilled employee ",33,"own","none","yes",500,42,90,"life insurance","all credits paid back duly","business",6289,2,"none","none",2,1
"116",116,116,"AS-100451402","Aaron Smayling",2,"male   : single",2,2,"skilled employee ",25,"own","yes","yes",150,48,70,"car or other","all credits paid back duly","business",14421,2,"none","none",1,1
"117",117,117,"AS-100451404","Aaron Smayling",1,"female : divorced/separated",4,2,"skilled employee ",25,"own","none","yes",10,36,0,"car or other","existing credits paid back duly till now","radio/television",2394,4,"none","none",1,1
"118",118,118,"AS-100451406","Aaron Smayling",2,"male   : single",3,4,"skilled employee ",28,"own","none","yes",0,12,70,"real estate","all credits paid back duly","repairs",1108,4,"none","none",2,1
"119",119,119,"AS-100451408","Aaron Smayling",1,"male   : single",2,2,"skilled employee ",25,"own","none","yes",10,12,50,"car or other","existing credits paid back duly till now","radio/television",1262,3,"none","none",1,1
"120",120,120,"AS-10090139","Adam Shillingsburg",1,"female : divorced/separated",2,1,"skilled employee ",21,"rent","yes","yes",10,18,90,"real estate","existing credits paid back duly till now","radio/television",1126,4,"none","none",1,1
"121",121,121,"AS-100901402","Adam Shillingsburg",1,"male   : single",4,10,"unskilled ",51,"for free","none","yes",10,9,700,"","existing credits paid back duly till now"," New Car",2507,2,"none","none",1,1
"122",122,122,"AS-100901404","Adam Shillingsburg",1,"female : divorced/separated",4,5,"skilled employee ",37,"rent","yes","yes",10,12,700,"car or other","critical account","furniture/equipment",1402,3,"none","none",1,1
"123",123,123,"AS-100901406","Adam Shillingsburg",2,"male   : single",2,3,"skilled employee ",26,"own","none","yes",250,36,80,"car or other","existing credits paid back duly till now","radio/television",4210,4,"none","none",1,1
"124",124,124,"AS-100901408","Adam Shillingsburg",1,"male   : single",4,10,"unskilled ",32,"own","none","no",10,10,80,"real estate","critical account"," New Car",1231,3,"none","none",2,2
"125",125,125,"AS-101351404","Adrian Shami",2,"male   : divorced/separated",4,3,"skilled employee ",31,"rent","none","yes",0,36,90,"car or other","existing credits paid back duly till now","radio/television",2302,4,"none","none",1,1
"126",126,126,"AS-101351406","Adrian Shami",2,"male   : single",4,3,"skilled employee ",53,"for free","none","yes",0,48,90,"","all credits paid back duly","furniture/equipment",7119,3,"none","none",2,2
"127",127,127,"AS-1022511","Alan Schoenberger",1,"male   : married/widowed",3,7,"unskilled ",28,"own","none","yes",10,6,90,"real estate","existing credits paid back duly till now","radio/television",484,3,"guarantor","Bank",1,1
"128",128,128,"AS-102251404","Alan Schoenberger",1,"male   : single",2,4,"unskilled ",31,"own","yes","yes",10,12,90,"real estate","all credits paid back duly","retraining",1410,2,"none","none",1,1
"129",129,129,"AS-102251406","Alan Schoenberger",2,"female : divorced/separated",4,10,"skilled employee ",33,"rent","yes","yes",0,18,90,"real estate","critical account"," New Car",3966,1,"none","Bank",3,1
"130",130,130,"AS-102251408","Alan Schoenberger",1,"female : divorced/separated",4,10,"skilled employee ",26,"rent","none","yes",0,24,90,"real estate","existing credits paid back duly till now","Used Car",2812,2,"none","none",1,1
"131",131,131,"AS-1022527","Alan Schoenberger",1,"female : divorced/separated",2,2,"skilled employee ",31,"own","none","yes",10,36,50,"car or other","critical account","radio/television",9566,2,"none","stores",2,1
"132",132,132,"AS-102401404","Alan Shonely",1,"male   : single",4,10,"skilled employee ",46,"own","none","no",500,6,90,"real estate","critical account"," New Car",1343,1,"none","none",2,2
"133",133,133,"AS-102401406","Alan Shonely",1,"female : divorced/separated",1,1,"skilled employee ",24,"own","none","yes",10,15,90,"real estate","existing credits paid back duly till now","domestic appliances",874,4,"none","none",1,1
"134",134,134,"AS-102401408","Alan Shonely",2,"male   : single",4,7,"unskilled ",32,"for free","none","yes",0,18,90,"","all credits at this bank paid back duly"," New Car",1442,4,"none","none",2,2
"135",135,135,"AS-102407","Alan Shonely",1,"female : divorced/separated",4,10,"management",57,"rent","yes","yes",0,24,2500,"life insurance","critical account","radio/television",1231,4,"none","none",2,1
"136",136,136,"AS-1028558","Alejandro Savely",1,"male   : single",4,10,"skilled employee ",56,"for free","none","yes",250,42,80,"","critical account","Used Car",4796,4,"none","none",1,1
"137",137,137,"AS-1063092","Ann Steele",1,"male   : single",4,1,"unskilled ",40,"own","none","no",0,6,90,"real estate","critical account"," New Car",1361,2,"none","none",1,2
"138",138,138,"AS-13523","Adrian Shami",1,"female : divorced/separated",4,6,"skilled employee ",23,"own","none","yes",10,24,300,"car or other","existing credits paid back duly till now","Used Car",3488,3,"none","none",1,1
"139",139,139,"AS-22523","Alan Schoenberger",2,"male   : single",2,10,"skilled employee ",41,"own","none","yes",0,36,90,"life insurance","existing credits paid back duly till now","furniture/equipment",2712,2,"none","Bank",1,2
"140",140,140,"AS-24023","Alan Shonely",2,"male   : single",4,10,"skilled employee ",43,"rent","yes","yes",0,16,90,"life insurance","critical account"," New Car",2625,2,"guarantor","Bank",1,1
"141",141,141,"AS-285108","Alejandro Savely",2,"male   : single",4,6,"skilled employee ",27,"own","none","yes",0,24,90,"car or other","all credits at this bank paid back duly","furniture/equipment",3552,3,"none","Bank",1,1
"142",142,142,"AS-28560","Alejandro Savely",2,"male   : divorced/separated",4,1,"unskilled ",31,"own","none","yes",0,30,90,"life insurance","existing credits paid back duly till now","furniture/equipment",3108,2,"none","none",1,1
"143",143,143,"AT-1043582","Alyssa Tate",1,"male   : married/widowed",1,9,"skilled employee ",35,"own","none","yes",0,12,700,"real estate","existing credits paid back duly till now","radio/television",1680,3,"none","none",1,1
"144",144,144,"AW-1084048","Anthony Witt",1,"female : divorced/separated",4,10,"skilled employee ",25,"own","none","yes",10,30,90,"car or other","existing credits paid back duly till now","radio/television",2991,2,"none","none",1,1
